numero_notificacion;fecha;codigo_predio;nombre_predio;zona;sirex;Sigla;unidad_operativa;intervencion;rut_emsefor;nombre_emsefor;Numero_Acta;rut_jfaena;nombre_jfaena;especie;Producto;producto_sap;largo;corteza;estado_madera;codigo_destino;descripcion_destino;banda_diametrica;Tipo_Producto;Condicion_Producto;Trozos;Metro_Ruma;Factor;m3ssc;ID_FSC;DESCRIP_FSC;ID_CERTFOR;DESCRIP_CERTFOR
829790;2026-05-31T00:00:04;30442;CUNAMO;FS01;si;NEG1;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2078144;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;EUNI;E0300UNSPLVA;EUNI-PULP-COS-SC;3;SC;Fresca;S010;CP VALDIVIA;;PULPABLE;Normal;;25.549;1.316;33.622;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829790;2026-05-31T00:00:04;30442;CUNAMO;FS01;si;NEG1;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2078144;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;EUNI;E0350UNSPLSD;EUNI-PULP-COS-SC;3.5;SC;Fresca;S010;CP VALDIVIA;;PULPABLE;Normal;;28.381;1.69;47.964;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829790;2026-05-31T00:00:04;30442;CUNAMO;FS01;si;NEG1;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2078144;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;EUNI;E0600UNS15MA;EUNI-PULP-COS-SC;6;SC;Fresca;S010;CP VALDIVIA;;PULPABLE;Normal;;363.202;1.729;627.976;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829792;2026-05-31T00:01:17;20566;NOTROS LOS;BC01;no;CIMA46;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2076358;96567940-5;CIMA FORESTAL;EUGL;E0550UGCPLLF;EUGL-PULP-COS-CC;5.5;CC;Fresca;C183;CP MAPA;;PULPABLE;Normal;;58.904;1.46;86;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829792;2026-05-31T00:01:17;20566;NOTROS LOS;BC01;no;CIMA46;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2076358;96567940-5;CIMA FORESTAL;PIRA;P0400URCPLLF;PIRA-PULP-COS-CC;4;CC;Fresca;C020;CP ARAUCO;;PULPABLE;No Rodalizado;;22.697;1.498;34;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829793;2026-05-31T00:02:45;30127;RINGAN CHICO;FS01;no;CIMA7;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077744;96567940-5;CIMA FORESTAL;PIRA;P0265PRZCAL1;PIRA-PODA-COS-CS;2.6;CS;Fresca;N051;CN LOG NVA ALDEA;;PODADO;Normal;153;;0.391;59.823;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829793;2026-05-31T00:02:45;30127;RINGAN CHICO;FS01;no;CIMA7;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077744;96567940-5;CIMA FORESTAL;PIRA;P0265RRZCAL1;PIRA-ASER-COS-CS;2.6;CS;Fresca;N051;CN LOG NVA ALDEA;;ASERRABLE;Normal;86;;0.315;27.09;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829793;2026-05-31T00:02:45;30127;RINGAN CHICO;FS01;no;CIMA7;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077744;96567940-5;CIMA FORESTAL;PIRA;P0300URZPLVA;PIRA-PULP-COS-CS;3;CS;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;3.765;1.267;4.77;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829793;2026-05-31T00:02:45;30127;RINGAN CHICO;FS01;no;CIMA7;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077744;96567940-5;CIMA FORESTAL;PIRA;P0410RRZCAL1;PIRA-ASER-COS-CS;4;CS;Fresca;S012;CN VALDIVIA;;ASERRABLE;Normal;128;;0.345;44.16;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829793;2026-05-31T00:02:45;30127;RINGAN CHICO;FS01;no;CIMA7;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077744;96567940-5;CIMA FORESTAL;PIRA;P0460RRZCAL1;PIRA-ASER-COS-CS;4.5;CS;Fresca;S012;CN VALDIVIA;;ASERRABLE;Normal;472;;0.17;80.24;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829793;2026-05-31T00:02:45;30127;RINGAN CHICO;FS01;no;CIMA7;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077744;96567940-5;CIMA FORESTAL;PIRA;P0550URZPLLF;PIRA-PULP-COS-CS;5.5;CS;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;23.785;1.543;36.7;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829794;2026-05-31T00:05:22;20233;MUNDO NUEVO P-43 44P;BC01;no;CIMA14;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077080;96567940-5;CIMA FORESTAL;PIRA;P0265RRCCAL1;PIRA-ASER-COS-CC;2.6;CC;Fresca;C033;CN HORCONES;;ASERRABLE;Normal;10;;0.315;3.15;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
